mode,rate,rto,payload_size,bytes_ok,total_time_s,kbps,retransmissions,timeouts,acks_total,acks_useful,ack_efficiency
4,0.0,0.04,1024,2033153,0.7818,20805.79,0,0,1987,1987,1.0
4,0.1,0.04,1024,2033153,11.0143,1476.74,200,200,1987,1987,1.0
4,0.2,0.04,1024,2033153,24.6707,659.29,482,482,1987,1987,1.0
4,0.4,0.04,1024,2033153,62.609,259.79,1325,1325,1987,1987,1.0
