mode,rate,rto,payload_size,bytes_ok,total_time_s,kbps,retransmissions,timeouts,acks_total,acks_useful,ack_efficiency
1,0.0,0.04,1024,2033153,0.8164,19923.12,0,0,1987,1987,1.0
2,0.1,0.04,1024,2033153,12.5131,1299.86,222,222,2093,1987,0.9494
1,0.1,0.04,1024,2033153,0.6978,23309.81,1,1,1988,1987,0.9995
4,0.1,0.04,1024,2033153,11.2462,1446.28,212,212,1987,1987,1.0
1,0.1,0.04,1024,2033153,12.2754,1325.03,224,224,1987,1987,1.0
